#time,accel_x,accel_y,accel_z
1467.298168,7179.997637,-6883.915261,919.314598
1467.298498,7105.977043,-6365.771101,1149.143247
1467.298829,6957.935855,-6809.894666,995.924147
1467.299159,7105.977043,-6365.771101,766.095498
1467.299490,7105.977043,-6217.729913,1685.410096
1467.299820,7179.997637,-6291.750507,1072.533697
1467.300150,7254.018232,-6365.771101,842.705048
1467.300481,7031.956449,-6735.874072,1378.971896
1467.300811,7031.956449,-6217.729913,919.314598
1467.301141,6735.874072,-6661.853478,1072.533697
1467.301472,6365.771101,-6217.729913,612.876398
1467.301802,6587.832884,-6661.853478,1072.533697
1467.302133,7031.956449,-6883.915261,766.095498
1467.302463,6661.853478,-6809.894666,1532.190996
1467.302793,7105.977043,-6439.791695,612.876398
1467.303124,6809.894666,-7105.977043,1302.362347
1467.303454,6883.915261,-7031.956449,842.705048
1467.303785,6957.935855,-6957.935855,842.705048
1467.304115,6587.832884,-6143.709319,995.924147
1467.304445,6735.874072,-7179.997637,995.924147
1467.304776,7105.977043,-6735.874072,1149.143247
1467.305106,7105.977043,-6291.750507,1149.143247
1467.305436,7031.956449,-6365.771101,459.657299
1467.305767,7105.977043,-6217.729913,766.095498
1467.306097,7402.059420,-6365.771101,1302.362347
1467.306428,7254.018232,-6661.853478,1225.752797
1467.306758,7402.059420,-6143.709319,1225.752797
1467.307088,7550.100608,-5847.626942,536.266849
1467.307419,7105.977043,-6439.791695,1149.143247
1467.307749,6957.935855,-6217.729913,1149.143247
1467.308079,6957.935855,-6735.874072,1149.143247
1467.308410,6661.853478,-5995.668130,1149.143247
1467.308740,6661.853478,-6143.709319,1149.143247
1467.309071,6661.853478,-6291.750507,919.314598
1467.309401,6735.874072,-6513.812290,1149.143247
1467.309731,7105.977043,-6513.812290,1149.143247
1467.310062,6957.935855,-6587.832884,459.657299
1467.310392,6809.894666,-6587.832884,1072.533697
1467.310723,6957.935855,-6513.812290,1302.362347
1467.311053,7105.977043,-6957.935855,1072.533697
