#time,accel_x,accel_y,accel_z
1367.610087,6735.874072,-7031.956449,919.314598
1367.610418,7179.997637,-7031.956449,1149.143247
1367.610748,7105.977043,-6217.729913,1838.629195
1367.611078,7105.977043,-6365.771101,919.314598
1367.611408,7179.997637,-6439.791695,1149.143247
1367.611738,7105.977043,-6587.832884,1072.533697
1367.612068,7105.977043,-6587.832884,995.924147
1367.612398,6809.894666,-6439.791695,1378.971896
1367.612729,6957.935855,-6513.812290,1149.143247
1367.613059,6957.935855,-6661.853478,1455.581446
1367.613389,6883.915261,-6291.750507,995.924147
1367.613719,7105.977043,-6439.791695,1225.752797
1367.614049,7105.977043,-6143.709319,689.485948
1367.614379,6661.853478,-6809.894666,1149.143247
1367.614709,6735.874072,-6513.812290,1149.143247
1367.615040,7105.977043,-6809.894666,1072.533697
1367.615370,7402.059420,-6069.688724,995.924147
1367.615700,6883.915261,-6365.771101,1149.143247
1367.616030,6809.894666,-7031.956449,1302.362347
1367.616360,7402.059420,-7031.956449,842.705048
1367.616690,7031.956449,-6809.894666,1225.752797
1367.617020,7105.977043,-6809.894666,995.924147
1367.617350,6735.874072,-6587.832884,995.924147
1367.617681,7105.977043,-6735.874072,919.314598
1367.618011,7105.977043,-6217.729913,1149.143247
1367.618341,7254.018232,-6291.750507,1685.410096
1367.618671,7476.080014,-6143.709319,1072.533697
1367.619001,7328.038826,-6661.853478,1072.533697
1367.619331,7179.997637,-6587.832884,1072.533697
1367.619661,7402.059420,-5995.668130,919.314598
1367.619992,7624.121203,-6439.791695,612.876398
1367.620322,7179.997637,-6217.729913,1149.143247
1367.620652,7105.977043,-6513.812290,1072.533697
1367.620982,7105.977043,-6217.729913,1072.533697
1367.621312,7031.956449,-6217.729913,1378.971896
1367.621642,6661.853478,-6587.832884,1072.533697
1367.621972,6587.832884,-6513.812290,842.705048
1367.622302,7031.956449,-6661.853478,1302.362347
1367.622633,6735.874072,-6587.832884,1378.971896
1367.622963,6957.935855,-6513.812290,1532.190996
1367.623293,6735.874072,-6957.935855,1532.190996
1367.623623,6735.874072,-6809.894666,1225.752797
1367.623953,6883.915261,-6883.915261,612.876398
1367.624283,6587.832884,-6735.874072,1225.752797
1367.624613,6291.750507,-6957.935855,1225.752797
1367.624944,6735.874072,-7031.956449,919.314598
1367.625274,7105.977043,-6661.853478,1302.362347
1367.625604,6809.894666,-6587.832884,1072.533697
1367.625934,7328.038826,-6513.812290,995.924147
1367.626264,6957.935855,-6513.812290,842.705048
1367.626594,7031.956449,-6291.750507,842.705048
1367.626924,7402.059420,-6439.791695,1378.971896
1367.627254,7105.977043,-6439.791695,842.705048
1367.627585,7550.100608,-6439.791695,995.924147
1367.627915,7105.977043,-6217.729913,1302.362347
1367.628245,6957.935855,-6217.729913,919.314598
1367.628575,6883.915261,-6587.832884,919.314598
1367.628905,6735.874072,-6735.874072,1149.143247
1367.629235,6661.853478,-6809.894666,612.876398
1367.629565,6957.935855,-6735.874072,919.314598
1367.629896,6661.853478,-6735.874072,1149.143247
1367.630226,6513.812290,-6365.771101,459.657299
1367.630556,6735.874072,-6217.729913,919.314598
1367.630886,6883.915261,-6587.832884,1225.752797
1367.631216,6809.894666,-6735.874072,995.924147
1367.631546,7105.977043,-6587.832884,612.876398
1367.631876,6513.812290,-6365.771101,689.485948
1367.632206,7476.080014,-6735.874072,919.314598
1367.632537,7179.997637,-6587.832884,995.924147
1367.632867,6957.935855,-6661.853478,689.485948
1367.633197,7179.997637,-6661.853478,842.705048
1367.633527,7328.038826,-6883.915261,1378.971896
1367.633857,7254.018232,-6809.894666,689.485948
1367.634187,7476.080014,-6291.750507,1378.971896
1367.634517,7402.059420,-5995.668130,1149.143247
1367.634848,7105.977043,-6069.688724,919.314598
1367.635178,7105.977043,-6069.688724,995.924147
1367.635508,7105.977043,-6439.791695,1149.143247
1367.635838,7179.997637,-6143.709319,1149.143247
1367.636168,6661.853478,-6365.771101,1149.143247
1367.636498,7179.997637,-6069.688724,1302.362347
1367.636828,6883.915261,-6661.853478,919.314598
1367.637158,6883.915261,-6735.874072,995.924147
1367.637489,6809.894666,-6957.935855,1378.971896
1367.637819,6661.853478,-6365.771101,842.705048
1367.638149,6809.894666,-6587.832884,995.924147
1367.638479,6957.935855,-6883.915261,919.314598
1367.638809,6735.874072,-6661.853478,919.314598
1367.639139,6513.812290,-6439.791695,995.924147
1367.639469,6957.935855,-7179.997637,1149.143247
1367.639800,6957.935855,-6587.832884,1685.410096
1367.640130,7105.977043,-6291.750507,1072.533697
1367.640460,7254.018232,-6291.750507,1225.752797
1367.640790,7031.956449,-6587.832884,919.314598
1367.641120,7476.080014,-6661.853478,1302.362347
1367.641450,7105.977043,-6661.853478,1072.533697
1367.641780,7105.977043,-6513.812290,1072.533697
1367.642111,7105.977043,-6365.771101,689.485948
1367.642441,6513.812290,-6735.874072,689.485948
1367.642771,6883.915261,-5995.668130,1149.143247
1367.643101,7105.977043,-6291.750507,995.924147
1367.643431,7031.956449,-6587.832884,1302.362347
1367.643761,6735.874072,-6513.812290,919.314598
1367.644091,6587.832884,-6587.832884,1455.581446
1367.644421,6809.894666,-7031.956449,689.485948
1367.644752,6809.894666,-6809.894666,1302.362347
1367.645082,6809.894666,-6809.894666,919.314598
1367.645412,6957.935855,-7105.977043,1225.752797
1367.645742,7031.956449,-6587.832884,919.314598
1367.646072,6809.894666,-6957.935855,919.314598
1367.646402,6291.750507,-6217.729913,612.876398
1367.646732,6809.894666,-6883.915261,766.095498
1367.647063,6735.874072,-6291.750507,919.314598
1367.647393,7031.956449,-6661.853478,1532.190996
1367.647723,7402.059420,-6365.771101,766.095498
1367.648053,7254.018232,-6143.709319,1072.533697
1367.648383,7402.059420,-6513.812290,1072.533697
1367.648713,7550.100608,-6661.853478,612.876398
1367.649043,7179.997637,-6143.709319,1149.143247
1367.649373,7550.100608,-6217.729913,919.314598
1367.649704,7254.018232,-6217.729913,1072.533697
1367.650034,7105.977043,-6439.791695,1302.362347
1367.650364,7772.162391,-6217.729913,995.924147
1367.650694,7105.977043,-6143.709319,995.924147
1367.651024,7031.956449,-6439.791695,1149.143247
1367.651354,6735.874072,-6513.812290,306.438199
1367.651684,6661.853478,-6587.832884,1455.581446
1367.652015,7031.956449,-6809.894666,1225.752797
1367.652345,7179.997637,-6735.874072,1225.752797
1367.652675,6957.935855,-6661.853478,1149.143247
1367.653005,6587.832884,-6513.812290,1225.752797
1367.653335,6957.935855,-6365.771101,919.314598
1367.653665,6735.874072,-6735.874072,842.705048
1367.653995,6809.894666,-7105.977043,1225.752797
1367.654325,7179.997637,-7031.956449,919.314598
1367.654656,7624.121203,-5921.647536,689.485948
1367.654986,6735.874072,-6809.894666,766.095498
1367.655316,6809.894666,-6365.771101,919.314598
1367.655646,7254.018232,-6143.709319,919.314598
1367.655976,6809.894666,-6587.832884,995.924147
1367.656306,6587.832884,-6217.729913,1378.971896
1367.656636,7105.977043,-6217.729913,1225.752797
1367.656967,7105.977043,-6439.791695,919.314598
1367.657297,6735.874072,-6143.709319,1149.143247
1367.657627,6587.832884,-6365.771101,612.876398
1367.657957,6809.894666,-6587.832884,1149.143247
1367.658287,6809.894666,-6513.812290,1072.533697
1367.658617,6587.832884,-6735.874072,1225.752797
1367.658947,6587.832884,-6809.894666,995.924147
1367.659277,6735.874072,-7031.956449,1225.752797
1367.659608,6661.853478,-6587.832884,919.314598
1367.659938,6439.791695,-7105.977043,995.924147
1367.660268,6883.915261,-6587.832884,1149.143247
1367.660598,6661.853478,-6735.874072,1149.143247
1367.660928,7328.038826,-6291.750507,612.876398
1367.661258,6735.874072,-6513.812290,919.314598
1367.661588,6735.874072,-6883.915261,842.705048
1367.661919,7105.977043,-6735.874072,1302.362347
1367.662249,7402.059420,-6217.729913,1149.143247
1367.662579,7402.059420,-6809.894666,842.705048
1367.662909,7254.018232,-6365.771101,766.095498
1367.663239,7105.977043,-6661.853478,766.095498
1367.663569,7105.977043,-6957.935855,766.095498
1367.663899,7179.997637,-5847.626942,842.705048
1367.664229,7328.038826,-6291.750507,1072.533697
1367.664560,7254.018232,-6143.709319,995.924147
1367.664890,7105.977043,-6587.832884,1149.143247
1367.665220,7105.977043,-5699.585753,1225.752797
1367.665550,7328.038826,-6217.729913,1455.581446
1367.665880,6587.832884,-6365.771101,766.095498
1367.666210,6661.853478,-6513.812290,766.095498
1367.666540,7105.977043,-6513.812290,1302.362347
1367.666871,7031.956449,-6291.750507,1378.971896
1367.667201,7105.977043,-6365.771101,842.705048
1367.667531,6661.853478,-6809.894666,1072.533697
1367.667861,6735.874072,-7031.956449,1072.533697
1367.668191,6735.874072,-7031.956449,612.876398
1367.668521,6809.894666,-6661.853478,1149.143247
1367.668851,6957.935855,-6809.894666,766.095498
1367.669181,7105.977043,-6735.874072,1532.190996
1367.669512,7328.038826,-6143.709319,1225.752797
1367.669842,7105.977043,-6587.832884,1225.752797
1367.670172,7105.977043,-6217.729913,1072.533697
1367.670502,6883.915261,-6957.935855,1302.362347
1367.670832,7031.956449,-6217.729913,1072.533697
1367.671162,7179.997637,-6143.709319,1149.143247
1367.671492,7105.977043,-6217.729913,995.924147
1367.671823,6661.853478,-6291.750507,1225.752797
1367.672153,6809.894666,-6587.832884,995.924147
1367.672483,6883.915261,-6439.791695,766.095498
1367.672813,7105.977043,-6809.894666,1302.362347
1367.673143,6587.832884,-6513.812290,1149.143247
1367.673473,6291.750507,-6809.894666,919.314598
1367.673803,6661.853478,-6661.853478,919.314598
1367.674133,6587.832884,-6661.853478,1302.362347
1367.674463,7179.997637,-6883.915261,766.095498
1367.674792,6883.915261,-7105.977043,1302.362347
1367.675122,6809.894666,-6957.935855,1225.752797
1367.675451,6661.853478,-7031.956449,995.924147
1367.675781,6513.812290,-6365.771101,919.314598
1367.676110,6217.729913,-7031.956449,1302.362347
1367.676440,6957.935855,-7105.977043,995.924147
