#time,accel_x,accel_y,accel_z
1322.159611,7550.100608,-5995.668130,842.705048
1322.159942,7179.997637,-6143.709319,766.095498
1322.160272,7179.997637,-6143.709319,1149.143247
1322.160602,7402.059420,-6439.791695,1072.533697
1322.160932,7254.018232,-6143.709319,995.924147
1322.161262,7105.977043,-6217.729913,842.705048
1322.161592,7105.977043,-6513.812290,842.705048
1322.161922,6809.894666,-6143.709319,1149.143247
1322.162253,7105.977043,-6735.874072,1149.143247
1322.162583,7105.977043,-6513.812290,919.314598
1322.162913,6957.935855,-6809.894666,842.705048
1322.163243,6809.894666,-7031.956449,1302.362347
1322.163573,6513.812290,-6809.894666,919.314598
1322.163903,6587.832884,-7105.977043,1072.533697
1322.164233,6513.812290,-6661.853478,995.924147
1322.164564,6957.935855,-6735.874072,995.924147
1322.164894,7179.997637,-6957.935855,919.314598
1322.165224,7179.997637,-6291.750507,1608.800546
1322.165554,7105.977043,-6513.812290,995.924147
1322.165884,7105.977043,-6365.771101,1149.143247
1322.166214,6883.915261,-6735.874072,689.485948
1322.166544,7105.977043,-6957.935855,612.876398
1322.166875,7105.977043,-6439.791695,995.924147
1322.167205,7105.977043,-6587.832884,1149.143247
1322.167535,7105.977043,-6069.688724,1149.143247
1322.167865,6957.935855,-6587.832884,1762.019645
1322.168195,6809.894666,-6365.771101,1225.752797
1322.168525,6883.915261,-6291.750507,995.924147
1322.168855,6291.750507,-6661.853478,995.924147
1322.169185,6365.771101,-6587.832884,919.314598
1322.169516,7254.018232,-7105.977043,842.705048
1322.169846,6883.915261,-6957.935855,1225.752797
1322.170176,6809.894666,-7031.956449,1149.143247
1322.170506,6661.853478,-6883.915261,1225.752797
1322.170836,6735.874072,-6957.935855,1302.362347
1322.171166,7105.977043,-6809.894666,1149.143247
1322.171496,6735.874072,-6661.853478,1149.143247
1322.171827,7105.977043,-6883.915261,995.924147
1322.172157,7179.997637,-6809.894666,766.095498
1322.172487,7328.038826,-6587.832884,1302.362347
1322.172817,7179.997637,-6513.812290,842.705048
1322.173147,7402.059420,-6069.688724,1149.143247
1322.173477,7105.977043,-6513.812290,766.095498
1322.173807,7031.956449,-6587.832884,766.095498
1322.174138,7105.977043,-6291.750507,689.485948
1322.174468,7328.038826,-6143.709319,995.924147
1322.174798,7105.977043,-6291.750507,1149.143247
1322.175128,7105.977043,-6217.729913,1225.752797
1322.175458,7031.956449,-5699.585753,1455.581446
1322.175788,7254.018232,-6069.688724,1225.752797
1322.176118,7105.977043,-6069.688724,995.924147
1322.176449,6661.853478,-6217.729913,1072.533697
1322.176779,7105.977043,-6587.832884,995.924147
1322.177109,6957.935855,-6217.729913,1838.629195
1322.177439,6883.915261,-6439.791695,842.705048
1322.177769,6809.894666,-7031.956449,842.705048
1322.178099,6735.874072,-6587.832884,1149.143247
1322.178429,6735.874072,-7105.977043,842.705048
1322.178760,7105.977043,-6513.812290,919.314598
1322.179090,6809.894666,-6587.832884,1225.752797
1322.179420,7402.059420,-6957.935855,995.924147
1322.179750,7105.977043,-6365.771101,1455.581446
1322.180080,7105.977043,-5995.668130,689.485948
1322.180410,7179.997637,-6513.812290,995.924147
1322.180740,7105.977043,-6439.791695,919.314598
1322.181071,7031.956449,-6735.874072,766.095498
1322.181401,7031.956449,-6439.791695,1149.143247
1322.181731,7179.997637,-5921.647536,919.314598
1322.182061,7031.956449,-6439.791695,1149.143247
1322.182391,6809.894666,-6513.812290,1072.533697
1322.182721,6809.894666,-6513.812290,842.705048
1322.183051,7402.059420,-6365.771101,689.485948
1322.183381,6587.832884,-6883.915261,1072.533697
1322.183712,6291.750507,-6439.791695,1149.143247
1322.184042,6587.832884,-6809.894666,1225.752797
1322.184372,6735.874072,-6957.935855,1455.581446
1322.184702,6587.832884,-6587.832884,1532.190996
1322.185032,6883.915261,-6809.894666,1072.533697
1322.185362,6735.874072,-6957.935855,1072.533697
1322.185692,6661.853478,-7105.977043,383.047749
1322.186023,6883.915261,-6957.935855,536.266849
1322.186353,6661.853478,-7254.018232,919.314598
1322.186683,7105.977043,-7031.956449,766.095498
1322.187013,7105.977043,-6439.791695,995.924147
1322.187343,7031.956449,-6809.894666,1072.533697
1322.187673,7105.977043,-5847.626942,1149.143247
1322.188003,7105.977043,-6365.771101,1149.143247
1322.188334,7105.977043,-6587.832884,1072.533697
1322.188664,7179.997637,-6365.771101,1149.143247
1322.188994,7254.018232,-5625.565159,612.876398
1322.189324,7328.038826,-6069.688724,1072.533697
1322.189654,7254.018232,-5921.647536,766.095498
1322.189984,7179.997637,-6439.791695,1302.362347
1322.190314,7031.956449,-6365.771101,842.705048
1322.190645,7031.956449,-6365.771101,995.924147
1322.190975,6809.894666,-6365.771101,459.657299
1322.191305,6809.894666,-6809.894666,919.314598
1322.191635,7105.977043,-6809.894666,1378.971896
1322.191965,7031.956449,-6513.812290,1072.533697
1322.192295,7105.977043,-6513.812290,842.705048
1322.192625,6957.935855,-6365.771101,1072.533697
1322.192956,7105.977043,-6809.894666,1072.533697
1322.193286,6809.894666,-6957.935855,995.924147
1322.193616,6365.771101,-6661.853478,689.485948
1322.193946,7031.956449,-6809.894666,919.314598
1322.194276,7105.977043,-6661.853478,1149.143247
1322.194606,7105.977043,-6513.812290,995.924147
1322.194936,7031.956449,-6809.894666,995.924147
1322.195267,7105.977043,-6587.832884,919.314598
1322.195597,6957.935855,-6439.791695,766.095498
1322.195927,6809.894666,-6735.874072,1149.143247
1322.196257,6883.915261,-6291.750507,1072.533697
1322.196587,7402.059420,-6069.688724,1072.533697
1322.196917,7772.162391,-6513.812290,919.314598
1322.197247,7105.977043,-6365.771101,1302.362347
1322.197578,7105.977043,-6439.791695,1149.143247
1322.197908,6735.874072,-6587.832884,995.924147
1322.198238,6809.894666,-6069.688724,1149.143247
1322.198568,6439.791695,-7105.977043,1149.143247
1322.198898,6661.853478,-7105.977043,1378.971896
1322.199228,6809.894666,-6809.894666,1149.143247
1322.199558,6513.812290,-6735.874072,689.485948
1322.199888,6439.791695,-6439.791695,1991.848295
1322.200219,6587.832884,-6735.874072,995.924147
1322.200549,6587.832884,-6809.894666,766.095498
1322.200879,6809.894666,-7031.956449,1149.143247
1322.201209,6957.935855,-6883.915261,995.924147
1322.201539,7476.080014,-7031.956449,842.705048
1322.201869,7105.977043,-6513.812290,919.314598
1322.202199,7105.977043,-6513.812290,536.266849
1322.202530,7105.977043,-6513.812290,689.485948
1322.202860,6883.915261,-6069.688724,919.314598
1322.203190,6957.935855,-6661.853478,995.924147
1322.203520,7105.977043,-6069.688724,1149.143247
1322.203850,7328.038826,-6365.771101,1378.971896
1322.204180,7254.018232,-6217.729913,1072.533697
1322.204510,6883.915261,-6217.729913,1608.800546
1322.204841,6957.935855,-6587.832884,919.314598
1322.205171,7179.997637,-6291.750507,1149.143247
1322.205501,6809.894666,-6587.832884,919.314598
1322.205831,6809.894666,-6217.729913,1149.143247
1322.206161,7105.977043,-6513.812290,1072.533697
1322.206491,7105.977043,-6587.832884,1225.752797
1322.206821,6957.935855,-6661.853478,1072.533697
1322.207152,6735.874072,-6513.812290,1149.143247
1322.207482,6587.832884,-6291.750507,1608.800546
1322.207812,6735.874072,-7031.956449,536.266849
1322.208142,6661.853478,-6587.832884,612.876398
1322.208472,6809.894666,-6587.832884,1149.143247
1322.208802,7402.059420,-6513.812290,995.924147
1322.209132,7179.997637,-6069.688724,1455.581446
1322.209463,7402.059420,-6587.832884,1149.143247
1322.209793,7105.977043,-6291.750507,919.314598
1322.210123,7476.080014,-6513.812290,919.314598
1322.210453,7328.038826,-6809.894666,919.314598
1322.210783,7105.977043,-6513.812290,1532.190996
1322.211113,7105.977043,-6217.729913,766.095498
1322.211443,7031.956449,-6513.812290,1149.143247
1322.211774,6513.812290,-6291.750507,1608.800546
1322.212104,6735.874072,-6439.791695,612.876398
1322.212434,7031.956449,-6661.853478,1302.362347
1322.212764,6587.832884,-6217.729913,842.705048
1322.213094,6735.874072,-6291.750507,995.924147
1322.213424,7031.956449,-6513.812290,1455.581446
1322.213754,6735.874072,-7031.956449,1302.362347
1322.214084,6809.894666,-6587.832884,1225.752797
1322.214415,6661.853478,-7179.997637,1149.143247
1322.214745,6809.894666,-6809.894666,1149.143247
1322.215075,6587.832884,-6883.915261,766.095498
1322.215405,6291.750507,-7105.977043,689.485948
1322.215735,6661.853478,-7254.018232,1225.752797
1322.216065,7105.977043,-7105.977043,919.314598
1322.216395,7105.977043,-6513.812290,1532.190996
1322.216726,7179.997637,-6439.791695,919.314598
1322.217056,7105.977043,-6439.791695,995.924147
1322.217386,7031.956449,-6291.750507,1072.533697
1322.217716,7105.977043,-6513.812290,459.657299
1322.218046,7105.977043,-6069.688724,1149.143247
1322.218376,7402.059420,-5921.647536,919.314598
1322.218706,7105.977043,-6439.791695,1149.143247
1322.219037,7105.977043,-6587.832884,1149.143247
1322.219367,7031.956449,-6291.750507,1149.143247
1322.219697,6513.812290,-6439.791695,1378.971896
1322.220027,6883.915261,-6291.750507,919.314598
1322.220357,6735.874072,-6587.832884,842.705048
1322.220687,7105.977043,-6661.853478,842.705048
1322.221017,7179.997637,-6661.853478,995.924147
1322.221348,7031.956449,-6439.791695,1149.143247
1322.221678,6957.935855,-6513.812290,612.876398
1322.222008,6735.874072,-6587.832884,1072.533697
1322.222338,6809.894666,-7105.977043,689.485948
1322.222668,6957.935855,-7031.956449,689.485948
1322.222998,6735.874072,-6883.915261,919.314598
1322.223328,6883.915261,-6883.915261,842.705048
1322.223656,7179.997637,-6587.832884,1225.752797
1322.223985,7105.977043,-6513.812290,1608.800546
1322.224315,7254.018232,-6513.812290,1072.533697
1322.224644,7179.997637,-6069.688724,1225.752797
1322.224973,6809.894666,-6587.832884,689.485948
1322.225303,6883.915261,-6513.812290,1225.752797
1322.225632,7254.018232,-6217.729913,1225.752797
1322.225962,7254.018232,-6439.791695,919.314598
1322.226291,7105.977043,-6291.750507,1149.143247
1322.226620,7105.977043,-6513.812290,1149.143247
1322.226950,6809.894666,-6365.771101,1225.752797
1322.227279,6513.812290,-6291.750507,1072.533697
1322.227609,6439.791695,-6661.853478,766.095498
1322.227938,6661.853478,-6661.853478,766.095498
1322.228268,6883.915261,-6957.935855,1378.971896
1322.228597,6587.832884,-6661.853478,995.924147
1322.228926,6957.935855,-7031.956449,1149.143247
1322.229256,6735.874072,-6735.874072,995.924147
1322.229585,6957.935855,-6883.915261,842.705048
1322.229915,6439.791695,-6809.894666,612.876398
1322.230244,7031.956449,-6957.935855,459.657299
1322.230574,6957.935855,-7179.997637,919.314598
1322.230903,7179.997637,-6883.915261,1072.533697
1322.231232,7179.997637,-6291.750507,689.485948
1322.231562,7402.059420,-5995.668130,1455.581446
1322.231891,7698.141797,-6735.874072,1149.143247
1322.232221,7105.977043,-6587.832884,919.314598
1322.232550,6957.935855,-6513.812290,995.924147
1322.232880,7031.956449,-6291.750507,1149.143247
1322.233209,7328.038826,-5847.626942,1302.362347
1322.233538,7031.956449,-6291.750507,1149.143247
1322.233868,6809.894666,-6587.832884,1302.362347
1322.234197,7105.977043,-6513.812290,1149.143247
1322.234527,6957.935855,-6513.812290,995.924147
1322.234856,6365.771101,-6291.750507,1149.143247
