#time,accel_x,accel_y,accel_z
1318.367437,7031.956449,-6439.791695,1149.143247
1318.367767,6735.874072,-6883.915261,612.876398
1318.368097,7031.956449,-6661.853478,1072.533697
1318.368428,7179.997637,-6735.874072,1455.581446
1318.368758,7328.038826,-6513.812290,1302.362347
1318.369088,7105.977043,-6365.771101,1302.362347
1318.369418,7105.977043,-6661.853478,1225.752797
1318.369749,7105.977043,-6217.729913,1149.143247
1318.370079,6587.832884,-6069.688724,1072.533697
1318.370409,6809.894666,-6439.791695,766.095498
1318.370740,6661.853478,-6661.853478,1072.533697
1318.371070,7031.956449,-6587.832884,1225.752797
1318.371400,6809.894666,-6809.894666,919.314598
1318.371730,7031.956449,-6883.915261,919.314598
1318.372061,6809.894666,-6883.915261,919.314598
1318.372391,6883.915261,-6883.915261,1072.533697
1318.372721,6809.894666,-6883.915261,612.876398
1318.373052,6735.874072,-6513.812290,1149.143247
1318.373382,6957.935855,-6883.915261,842.705048
1318.373712,7328.038826,-6735.874072,995.924147
1318.374042,7179.997637,-6143.709319,1149.143247
1318.374373,7328.038826,-6661.853478,1072.533697
1318.374703,7179.997637,-6291.750507,1149.143247
1318.375033,7105.977043,-6587.832884,1225.752797
1318.375364,7254.018232,-6587.832884,995.924147
1318.375694,7105.977043,-6513.812290,1072.533697
1318.376024,7402.059420,-6439.791695,1072.533697
1318.376354,7031.956449,-6069.688724,919.314598
1318.376685,6957.935855,-6439.791695,1072.533697
1318.377015,7476.080014,-6217.729913,842.705048
1318.377345,7105.977043,-6217.729913,1149.143247
1318.377676,6809.894666,-6069.688724,1302.362347
1318.378006,6809.894666,-6365.771101,1149.143247
1318.378336,7105.977043,-6365.771101,995.924147
1318.378666,6883.915261,-6883.915261,1225.752797
1318.378997,6883.915261,-6513.812290,612.876398
1318.379327,6809.894666,-6883.915261,1225.752797
1318.379657,6809.894666,-6809.894666,1225.752797
1318.379988,6513.812290,-7105.977043,612.876398
1318.380318,6587.832884,-6661.853478,919.314598
1318.380648,6735.874072,-7105.977043,919.314598
1318.380978,7105.977043,-6809.894666,995.924147
1318.381309,7328.038826,-6217.729913,1225.752797
1318.381639,7402.059420,-6217.729913,1225.752797
1318.381969,7105.977043,-6291.750507,1225.752797
1318.382300,6661.853478,-5995.668130,766.095498
1318.382630,6809.894666,-6735.874072,919.314598
1318.382960,6957.935855,-6587.832884,995.924147
1318.383290,7179.997637,-6439.791695,766.095498
1318.383621,7105.977043,-6883.915261,1455.581446
1318.383951,7402.059420,-6957.935855,1072.533697
1318.384281,7105.977043,-6587.832884,919.314598
1318.384612,6809.894666,-6735.874072,306.438199
1318.384942,6587.832884,-5995.668130,842.705048
1318.385272,6735.874072,-6439.791695,1072.533697
1318.385602,6661.853478,-6661.853478,1149.143247
1318.385933,7031.956449,-6439.791695,1225.752797
1318.386263,7105.977043,-6439.791695,1225.752797
1318.386593,6365.771101,-6069.688724,1072.533697
1318.386924,6661.853478,-6587.832884,1532.190996
1318.387254,6439.791695,-7179.997637,842.705048
1318.387584,6365.771101,-6883.915261,766.095498
1318.387914,6883.915261,-6661.853478,1455.581446
1318.388245,7402.059420,-6883.915261,1302.362347
1318.388575,7105.977043,-6587.832884,1149.143247
1318.388905,7179.997637,-6735.874072,1225.752797
1318.389236,7328.038826,-6365.771101,919.314598
1318.389566,7105.977043,-6069.688724,842.705048
1318.389896,7031.956449,-6143.709319,842.705048
1318.390226,7476.080014,-6513.812290,1072.533697
1318.390557,7402.059420,-5921.647536,995.924147
1318.390887,7328.038826,-5995.668130,842.705048
1318.391217,7179.997637,-5995.668130,1685.410096
1318.391548,7105.977043,-6365.771101,919.314598
1318.391878,7105.977043,-6291.750507,766.095498
1318.392208,7105.977043,-6513.812290,1149.143247
1318.392539,7031.956449,-6735.874072,1149.143247
1318.392869,7254.018232,-6291.750507,995.924147
1318.393199,6661.853478,-6587.832884,1225.752797
1318.393529,6883.915261,-6735.874072,1225.752797
1318.393860,6809.894666,-6661.853478,919.314598
1318.394190,6735.874072,-6809.894666,1685.410096
1318.394520,6957.935855,-7105.977043,306.438199
