#time,accel_x,accel_y,accel_z
1094.507797,9770.718434,-2738.761985,2374.896044
1094.508127,9400.615463,-3701.029710,2451.505594
1094.508456,9696.697840,-4293.194464,2834.553343
1094.508786,9548.656652,-5477.523971,3370.820191
1094.509115,9696.697840,-6587.832884,2757.943793
1094.509445,8882.471304,-5625.565159,1991.848295
1094.509774,8364.327145,-6661.853478,1838.629195
1094.510103,7994.224174,-6883.915261,2374.896044
1094.510433,7328.038826,-6291.750507,1149.143247
1094.510762,6957.935855,-5329.482782,612.876398
1094.511092,6587.832884,-4367.215058,0.000000
1094.511421,7846.182985,-4515.256246,919.314598
1094.511751,8142.265362,-4589.276840,1991.848295
1094.512080,9326.594869,-3849.070898,2374.896044
1094.512410,8586.388927,-3627.009116,1762.019645
1094.512739,9178.553681,-2812.782580,1608.800546
1094.513069,9474.636058,-5107.421000,2145.067394
1094.513398,9992.780217,-5329.482782,2528.115143
1094.513728,8660.409521,-5625.565159,2068.457845
1094.514057,7550.100608,-6069.688724,995.924147
1094.514386,7402.059420,-6069.688724,612.876398
1094.514716,7772.162391,-7846.182985,1225.752797
1094.515045,7254.018232,-7772.162391,459.657299
1094.515375,6291.750507,-7105.977043,306.438199
1094.515704,6439.791695,-6365.771101,0.000000
1094.516034,6957.935855,-5329.482782,0.000000
1094.516363,7550.100608,-6217.729913,919.314598
1094.516693,7698.141797,-5625.565159,1149.143247
1094.517022,7402.059420,-5107.421000,1072.533697
1094.517352,7328.038826,-4737.318029,612.876398
1094.517681,7772.162391,-5403.503377,1455.581446
1094.518010,8660.409521,-5625.565159,1991.848295
1094.518340,8068.244768,-5477.523971,1991.848295
1094.518669,8216.285956,-6217.729913,1685.410096
1094.518999,8068.244768,-5699.585753,1378.971896
1094.519328,8290.306550,-6069.688724,1532.190996
1094.519658,7772.162391,-6735.874072,1455.581446
1094.519987,7031.956449,-6735.874072,919.314598
1094.520317,6143.709319,-6809.894666,459.657299
1094.520646,6291.750507,-6143.709319,0.000000
1094.520976,6513.812290,-6291.750507,383.047749
1094.521305,6809.894666,-6291.750507,842.705048
1094.521634,7105.977043,-5699.585753,383.047749
1094.521964,7254.018232,-5995.668130,995.924147
1094.522293,7846.182985,-5921.647536,1378.971896
1094.522623,8512.368333,-5921.647536,1532.190996
1094.522952,8142.265362,-6291.750507,1302.362347
1094.523282,7624.121203,-5921.647536,1225.752797
1094.523611,7476.080014,-6439.791695,1302.362347
1094.523941,7994.224174,-6439.791695,1455.581446
1094.524270,8216.285956,-6365.771101,1225.752797
1094.524600,7254.018232,-6439.791695,1225.752797
1094.524929,6957.935855,-5847.626942,1072.533697
1094.525259,6513.812290,-6513.812290,612.876398
1094.525588,6587.832884,-5995.668130,306.438199
1094.525917,6291.750507,-6365.771101,459.657299
1094.526247,6217.729913,-6291.750507,689.485948
1094.526576,5921.647536,-6143.709319,919.314598
1094.526906,6735.874072,-7105.977043,1378.971896
1094.527235,7179.997637,-6883.915261,1608.800546
