#time,accel_x,accel_y,accel_z
1440.963650,7031.956449,-6439.791695,1149.143247
1440.963981,7105.977043,-6291.750507,1149.143247
1440.964311,7031.956449,-6439.791695,1608.800546
1440.964642,6513.812290,-6217.729913,1072.533697
1440.964972,6883.915261,-7031.956449,995.924147
1440.965303,6513.812290,-7031.956449,1378.971896
1440.965634,6439.791695,-6291.750507,766.095498
1440.965964,6439.791695,-6957.935855,1225.752797
1440.966295,6735.874072,-7105.977043,1378.971896
1440.966625,6809.894666,-7105.977043,689.485948
1440.966956,6365.771101,-7105.977043,612.876398
1440.967286,6735.874072,-7105.977043,1149.143247
1440.967617,7031.956449,-7105.977043,689.485948
1440.967947,7179.997637,-6439.791695,1225.752797
1440.968278,7031.956449,-6883.915261,1608.800546
1440.968608,7254.018232,-6513.812290,1149.143247
1440.968939,7920.203579,-6365.771101,919.314598
1440.969270,7105.977043,-6735.874072,1225.752797
1440.969600,7105.977043,-6217.729913,995.924147
1440.969931,7328.038826,-6069.688724,1072.533697
1440.970261,7105.977043,-6809.894666,1685.410096
1440.970592,7179.997637,-6069.688724,1149.143247
1440.970922,7328.038826,-6513.812290,1072.533697
1440.971253,7031.956449,-6365.771101,919.314598
1440.971583,6957.935855,-6661.853478,1378.971896
1440.971914,7105.977043,-5921.647536,842.705048
1440.972244,6809.894666,-6661.853478,1225.752797
1440.972575,6957.935855,-6661.853478,1225.752797
1440.972906,7031.956449,-6513.812290,1149.143247
1440.973236,7254.018232,-6513.812290,0.000000
1440.973567,6809.894666,-6661.853478,1302.362347
1440.973897,7105.977043,-6735.874072,1149.143247
1440.974228,7179.997637,-6883.915261,1149.143247
1440.974558,6809.894666,-6661.853478,995.924147
1440.974889,6735.874072,-6735.874072,1072.533697
1440.975219,7105.977043,-6587.832884,995.924147
1440.975550,7179.997637,-6661.853478,1072.533697
1440.975880,7179.997637,-6587.832884,1072.533697
1440.976211,7179.997637,-6217.729913,919.314598
1440.976541,7105.977043,-6365.771101,1225.752797
1440.976872,7105.977043,-6439.791695,1225.752797
1440.977203,6883.915261,-5995.668130,1378.971896
1440.977533,6883.915261,-6217.729913,1072.533697
1440.977864,6883.915261,-6513.812290,1072.533697
1440.978194,6735.874072,-6513.812290,995.924147
1440.978525,7105.977043,-6143.709319,689.485948
1440.978855,6957.935855,-6883.915261,1225.752797
1440.979186,7031.956449,-6883.915261,1072.533697
1440.979516,7179.997637,-6513.812290,612.876398
1440.979847,6513.812290,-6883.915261,995.924147
1440.980177,6513.812290,-6957.935855,1149.143247
1440.980508,6809.894666,-6735.874072,1378.971896
1440.980839,6735.874072,-6513.812290,1685.410096
1440.981169,6291.750507,-6291.750507,919.314598
1440.981500,6661.853478,-6957.935855,536.266849
1440.981830,6439.791695,-6957.935855,689.485948
1440.982161,6513.812290,-6883.915261,689.485948
1440.982491,7254.018232,-7105.977043,919.314598
1440.982822,6957.935855,-6513.812290,842.705048
1440.983152,7254.018232,-7031.956449,1762.019645
1440.983483,7476.080014,-6883.915261,1149.143247
1440.983813,7105.977043,-6439.791695,689.485948
1440.984144,7624.121203,-6661.853478,842.705048
1440.984474,7179.997637,-6883.915261,995.924147
1440.984805,7328.038826,-6513.812290,995.924147
1440.985136,7179.997637,-6217.729913,1149.143247
1440.985466,7476.080014,-6439.791695,1608.800546
1440.985797,7105.977043,-6217.729913,995.924147
1440.986127,7105.977043,-5921.647536,1072.533697
1440.986458,6957.935855,-6217.729913,1225.752797
1440.986788,6809.894666,-6217.729913,919.314598
1440.987119,6957.935855,-6291.750507,612.876398
1440.987449,6957.935855,-6883.915261,1225.752797
1440.987780,7105.977043,-6661.853478,995.924147
1440.988110,7031.956449,-6809.894666,1072.533697
1440.988441,7105.977043,-6957.935855,2145.067394
1440.988772,6587.832884,-6735.874072,995.924147
1440.989102,6735.874072,-6735.874072,766.095498
1440.989433,6587.832884,-6735.874072,995.924147
1440.989763,7031.956449,-6587.832884,919.314598
1440.990094,7624.121203,-6217.729913,842.705048
1440.990424,6587.832884,-5921.647536,1455.581446
1440.990755,7402.059420,-6365.771101,1149.143247
1440.991085,7476.080014,-6217.729913,1378.971896
1440.991416,7105.977043,-6883.915261,1608.800546
1440.991746,7105.977043,-6439.791695,1149.143247
1440.992077,7179.997637,-6365.771101,919.314598
1440.992408,7476.080014,-6809.894666,919.314598
1440.992738,7105.977043,-6439.791695,842.705048
1440.993069,7328.038826,-6809.894666,1685.410096
1440.993399,7031.956449,-6365.771101,1072.533697
1440.993730,6809.894666,-6365.771101,1225.752797
1440.994060,6513.812290,-6439.791695,1072.533697
1440.994391,6587.832884,-6587.832884,842.705048
1440.994721,6883.915261,-7254.018232,995.924147
1440.995052,6661.853478,-6809.894666,919.314598
1440.995382,6291.750507,-6809.894666,919.314598
1440.995713,6513.812290,-6957.935855,842.705048
1440.996043,6439.791695,-6809.894666,1225.752797
1440.996374,6883.915261,-7328.038826,689.485948
1440.996705,6661.853478,-6957.935855,1072.533697
1440.997035,6883.915261,-7254.018232,1149.143247
1440.997366,7179.997637,-6957.935855,1072.533697
1440.997696,7105.977043,-5773.606348,842.705048
1440.998027,7031.956449,-6735.874072,612.876398
1440.998357,7254.018232,-6439.791695,919.314598
1440.998688,7105.977043,-6217.729913,1072.533697
