#time,accel_x,accel_y,accel_z
1357.716668,6661.853478,-6365.771101,1072.533697
1357.716998,6513.812290,-6291.750507,1302.362347
1357.717328,6735.874072,-6587.832884,995.924147
1357.717658,6957.935855,-6513.812290,1072.533697
1357.717988,7179.997637,-6365.771101,1072.533697
1357.718318,7105.977043,-6217.729913,229.828649
1357.718648,6735.874072,-6513.812290,1072.533697
1357.718978,6809.894666,-6587.832884,1302.362347
1357.719308,6809.894666,-7031.956449,919.314598
1357.719638,6957.935855,-6513.812290,1149.143247
1357.719968,6957.935855,-6439.791695,536.266849
1357.720298,7105.977043,-7105.977043,689.485948
1357.720628,7328.038826,-6291.750507,1149.143247
1357.720958,7179.997637,-6587.832884,766.095498
1357.721287,7105.977043,-6291.750507,1608.800546
1357.721617,7105.977043,-5995.668130,919.314598
1357.721947,7402.059420,-5921.647536,919.314598
1357.722277,7179.997637,-5995.668130,1378.971896
1357.722607,7402.059420,-5477.523971,1378.971896
1357.722937,7254.018232,-5921.647536,689.485948
1357.723267,7105.977043,-6365.771101,1149.143247
1357.723597,7105.977043,-6291.750507,995.924147
1357.723927,7254.018232,-6661.853478,1149.143247
1357.724257,6661.853478,-6809.894666,1838.629195
1357.724587,6587.832884,-6883.915261,1072.533697
1357.724917,6661.853478,-6661.853478,1072.533697
1357.725247,6883.915261,-7031.956449,1072.533697
1357.725577,6809.894666,-6809.894666,1685.410096
1357.725907,6735.874072,-6513.812290,1378.971896
1357.726237,6809.894666,-6883.915261,1225.752797
1357.726567,6735.874072,-6883.915261,842.705048
1357.726897,6439.791695,-6809.894666,612.876398
1357.727227,6809.894666,-6735.874072,919.314598
1357.727557,7179.997637,-6957.935855,995.924147
1357.727887,6957.935855,-6735.874072,1149.143247
1357.728217,6809.894666,-6735.874072,842.705048
1357.728547,7254.018232,-6661.853478,612.876398
1357.728877,7550.100608,-7254.018232,1455.581446
1357.729207,7105.977043,-7105.977043,1149.143247
1357.729537,7179.997637,-6217.729913,1072.533697
1357.729866,7179.997637,-6291.750507,1072.533697
